value,coordinates,flagInfo.hasFlags,parameter.id,parameter.name,parameter.units,parameter.displayName,period.label,period.interval,period.datetimeFrom.utc,period.datetimeFrom.local,period.datetimeTo.utc,period.datetimeTo.local,summary.min,summary.q02,summary.q25,summary.median,summary.q75,summary.q98,summary.max,summary.avg,summary.sd,coverage.expectedCount,coverage.expectedInterval,coverage.observedCount,coverage.observedInterval,coverage.percentComplete,coverage.percentCoverage,coverage.datetimeFrom.utc,coverage.datetimeFrom.local,coverage.datetimeTo.utc,coverage.datetimeTo.local
0.225,,False,8,co,ppm,,1 day,24:00:00,2025-08-14T07:00:00Z,2025-08-14T00:00:00-07:00,2025-08-15T07:00:00Z,2025-08-15T00:00:00-07:00,0.2,0.2,0.2,0.2,0.225,0.294,0.3,0.22500000000000003,0.049999999999999975,24,24:00:00,4,04:00:00,17.0,17.0,2025-08-15T03:00:00Z,2025-08-14T20:00:00-07:00,2025-08-15T07:00:00Z,2025-08-15T00:00:00-07:00
0.229,,False,8,co,ppm,,1 day,24:00:00,2025-08-15T07:00:00Z,2025-08-15T00:00:00-07:00,2025-08-16T07:00:00Z,2025-08-16T00:00:00-07:00,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.2291666666666667,0.04643056214875366,24,24:00:00,24,24:00:00,100.0,100.0,2025-08-15T07:00:00Z,2025-08-15T00:00:00-07:00,2025-08-16T07:00:00Z,2025-08-16T00:00:00-07:00
0.196,,False,8,co,ppm,,1 day,24:00:00,2025-08-16T07:00:00Z,2025-08-16T00:00:00-07:00,2025-08-17T07:00:00Z,2025-08-17T00:00:00-07:00,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.1958333333333334,0.05500329370901873,24,24:00:00,24,24:00:00,100.0,100.0,2025-08-16T07:00:00Z,2025-08-16T00:00:00-07:00,2025-08-17T07:00:00Z,2025-08-17T00:00:00-07:00
0.221,,False,8,co,ppm,,1 day,24:00:00,2025-08-17T07:00:00Z,2025-08-17T00:00:00-07:00,2025-08-18T07:00:00Z,2025-08-18T00:00:00-07:00,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2208333333333334,0.04148511169990535,24,24:00:00,24,24:00:00,100.0,100.0,2025-08-17T07:00:00Z,2025-08-17T00:00:00-07:00,2025-08-18T07:00:00Z,2025-08-18T00:00:00-07:00
0.283,,False,8,co,ppm,,1 day,24:00:00,2025-08-18T07:00:00Z,2025-08-18T00:00:00-07:00,2025-08-19T07:00:00Z,2025-08-19T00:00:00-07:00,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.2833333333333333,0.0701964118163034,24,24:00:00,24,24:00:00,100.0,100.0,2025-08-18T07:00:00Z,2025-08-18T00:00:00-07:00,2025-08-19T07:00:00Z,2025-08-19T00:00:00-07:00
0.3,,False,8,co,ppm,,1 day,24:00:00,2025-08-19T07:00:00Z,2025-08-19T00:00:00-07:00,2025-08-20T07:00:00Z,2025-08-20T00:00:00-07:00,0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.3,0.0780189497605494,24,24:00:00,24,24:00:00,100.0,100.0,2025-08-19T07:00:00Z,2025-08-19T00:00:00-07:00,2025-08-20T07:00:00Z,2025-08-20T00:00:00-07:00
0.404,,False,8,co,ppm,,1 day,24:00:00,2025-08-20T07:00:00Z,2025-08-20T00:00:00-07:00,2025-08-21T07:00:00Z,2025-08-21T00:00:00-07:00,0.2,0.2,0.275,0.4,0.5,0.854,0.9,0.40416666666666673,0.18761469921708918,24,24:00:00,24,24:00:00,100.0,100.0,2025-08-20T07:00:00Z,2025-08-20T00:00:00-07:00,2025-08-21T07:00:00Z,2025-08-21T00:00:00-07:00
0.538,,False,8,co,ppm,,1 day,24:00:00,2025-08-21T07:00:00Z,2025-08-21T00:00:00-07:00,2025-08-22T07:00:00Z,2025-08-22T00:00:00-07:00,0.3,0.3,0.4,0.5,0.7,0.876,0.9,0.5384615384615384,0.20223114472661202,24,24:00:00,13,13:00:00,54.0,54.0,2025-08-21T07:00:00Z,2025-08-21T00:00:00-07:00,2025-08-21T23:00:00Z,2025-08-21T16:00:00-07:00
0.000125,,False,35,no,ppm,,1 day,24:00:00,2025-08-14T07:00:00Z,2025-08-14T00:00:00-07:00,2025-08-15T07:00:00Z,2025-08-15T00:00:00-07:00,0.0,6e-06,7.500000000000001e-05,0.0001,0.00015000000000000001,0.00028799999999999995,0.0003,0.000125,0.00012583057392117917,24,24:00:00,4,04:00:00,17.0,17.0,2025-08-15T03:00:00Z,2025-08-14T20:00:00-07:00,2025-08-15T07:00:00Z,2025-08-15T00:00:00-07:00
0.000808,,False,35,no,ppm,,1 day,24:00:00,2025-08-15T07:00:00Z,2025-08-15T00:00:00-07:00,2025-08-16T07:00:00Z,2025-08-16T00:00:00-07:00,-0.0002,-0.000108,0.0002,0.00065,0.0012,0.0023,0.0023,0.0008083333333333332,0.0007790276362049132,24,24:00:00,24,24:00:00,100.0,100.0,2025-08-15T07:00:00Z,2025-08-15T00:00:00-07:00,2025-08-16T07:00:00Z,2025-08-16T00:00:00-07:00
0.00055,,False,35,no,ppm,,1 day,24:00:00,2025-08-16T07:00:00Z,2025-08-16T00:00:00-07:00,2025-08-17T07:00:00Z,2025-08-17T00:00:00-07:00,-0.0002,-0.000154,0.0,0.00025,0.001025,0.002,0.002,0.0005499999999999999,0.0006795138927459708,24,24:00:00,24,24:00:00,100.0,100.0,2025-08-16T07:00:00Z,2025-08-16T00:00:00-07:00,2025-08-17T07:00:00Z,2025-08-17T00:00:00-07:00
0.000554,,False,35,no,ppm,,1 day,24:00:00,2025-08-17T07:00:00Z,2025-08-17T00:00:00-07:00,2025-08-18T07:00:00Z,2025-08-18T00:00:00-07:00,0.0,4.600000000000001e-05,0.0002,0.00035,0.0008,0.0018159999999999997,0.002,0.0005541666666666667,0.000509030764139634,24,24:00:00,24,24:00:00,100.0,100.0,2025-08-17T07:00:00Z,2025-08-17T00:00:00-07:00,2025-08-18T07:00:00Z,2025-08-18T00:00:00-07:00
