value,coordinates,Sensor ID,Latitude,Longitude,City,Station Name,First Seen (UTC),Last Seen (UTC),Timezone,flagInfo.hasFlags,parameter.id,parameter.name,parameter.units,parameter.displayName,period.label,period.interval,period.datetimeFrom.utc,period.datetimeFrom.local,period.datetimeTo.utc,period.datetimeTo.local,summary.min,summary.q02,summary.q25,summary.median,summary.q75,summary.q98,summary.max,summary.avg,summary.sd,coverage.expectedCount,coverage.expectedInterval,coverage.observedCount,coverage.observedInterval,coverage.percentComplete,coverage.percentCoverage,coverage.datetimeFrom.utc,coverage.datetimeFrom.local,coverage.datetimeTo.utc,coverage.datetimeTo.local
0.3,,23019,34.066429,-118.22675500000001,Los Angeles,Los Angeles - N. Mai,2017-06-07T22:00:00Z,2025-08-25 15:00:00+00:00,America/Los_Angeles,False,8,co,ppm,,1hour,01:00:00,2025-08-24T18:00:00Z,2025-08-24T11:00:00-07:00,2025-08-24T19:00:00Z,2025-08-24T12:00:00-07:00,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,1,01:00:00,1,01:00:00,100.0,100.0,2025-08-24T18:00:00Z,2025-08-24T11:00:00-07:00,2025-08-24T19:00:00Z,2025-08-24T12:00:00-07:00
0.2,,23019,34.066429,-118.22675500000001,Los Angeles,Los Angeles - N. Mai,2017-06-07T22:00:00Z,2025-08-25 15:00:00+00:00,America/Los_Angeles,False,8,co,ppm,,1hour,01:00:00,2025-08-24T19:00:00Z,2025-08-24T12:00:00-07:00,2025-08-24T20:00:00Z,2025-08-24T13:00:00-07:00,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,1,01:00:00,1,01:00:00,100.0,100.0,2025-08-24T19:00:00Z,2025-08-24T12:00:00-07:00,2025-08-24T20:00:00Z,2025-08-24T13:00:00-07:00
0.2,,23019,34.066429,-118.22675500000001,Los Angeles,Los Angeles - N. Mai,2017-06-07T22:00:00Z,2025-08-25 15:00:00+00:00,America/Los_Angeles,False,8,co,ppm,,1hour,01:00:00,2025-08-24T20:00:00Z,2025-08-24T13:00:00-07:00,2025-08-24T21:00:00Z,2025-08-24T14:00:00-07:00,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,1,01:00:00,1,01:00:00,100.0,100.0,2025-08-24T20:00:00Z,2025-08-24T13:00:00-07:00,2025-08-24T21:00:00Z,2025-08-24T14:00:00-07:00
0.2,,23019,34.066429,-118.22675500000001,Los Angeles,Los Angeles - N. Mai,2017-06-07T22:00:00Z,2025-08-25 15:00:00+00:00,America/Los_Angeles,False,8,co,ppm,,1hour,01:00:00,2025-08-24T21:00:00Z,2025-08-24T14:00:00-07:00,2025-08-24T22:00:00Z,2025-08-24T15:00:00-07:00,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,1,01:00:00,1,01:00:00,100.0,100.0,2025-08-24T21:00:00Z,2025-08-24T14:00:00-07:00,2025-08-24T22:00:00Z,2025-08-24T15:00:00-07:00
0.2,,23019,34.066429,-118.22675500000001,Los Angeles,Los Angeles - N. Mai,2017-06-07T22:00:00Z,2025-08-25 15:00:00+00:00,America/Los_Angeles,False,8,co,ppm,,1hour,01:00:00,2025-08-24T22:00:00Z,2025-08-24T15:00:00-07:00,2025-08-24T23:00:00Z,2025-08-24T16:00:00-07:00,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,1,01:00:00,1,01:00:00,100.0,100.0,2025-08-24T22:00:00Z,2025-08-24T15:00:00-07:00,2025-08-24T23:00:00Z,2025-08-24T16:00:00-07:00
0.2,,23019,34.066429,-118.22675500000001,Los Angeles,Los Angeles - N. Mai,2017-06-07T22:00:00Z,2025-08-25 15:00:00+00:00,America/Los_Angeles,False,8,co,ppm,,1hour,01:00:00,2025-08-24T23:00:00Z,2025-08-24T16:00:00-07:00,2025-08-25T00:00:00Z,2025-08-24T17:00:00-07:00,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,1,01:00:00,1,01:00:00,100.0,100.0,2025-08-24T23:00:00Z,2025-08-24T16:00:00-07:00,2025-08-25T00:00:00Z,2025-08-24T17:00:00-07:00
0.2,,23019,34.066429,-118.22675500000001,Los Angeles,Los Angeles - N. Mai,2017-06-07T22:00:00Z,2025-08-25 15:00:00+00:00,America/Los_Angeles,False,8,co,ppm,,1hour,01:00:00,2025-08-25T00:00:00Z,2025-08-24T17:00:00-07:00,2025-08-25T01:00:00Z,2025-08-24T18:00:00-07:00,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,1,01:00:00,1,01:00:00,100.0,100.0,2025-08-25T00:00:00Z,2025-08-24T17:00:00-07:00,2025-08-25T01:00:00Z,2025-08-24T18:00:00-07:00
0.2,,23019,34.066429,-118.22675500000001,Los Angeles,Los Angeles - N. Mai,2017-06-07T22:00:00Z,2025-08-25 15:00:00+00:00,America/Los_Angeles,False,8,co,ppm,,1hour,01:00:00,2025-08-25T01:00:00Z,2025-08-24T18:00:00-07:00,2025-08-25T02:00:00Z,2025-08-24T19:00:00-07:00,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,1,01:00:00,1,01:00:00,100.0,100.0,2025-08-25T01:00:00Z,2025-08-24T18:00:00-07:00,2025-08-25T02:00:00Z,2025-08-24T19:00:00-07:00
0.3,,23019,34.066429,-118.22675500000001,Los Angeles,Los Angeles - N. Mai,2017-06-07T22:00:00Z,2025-08-25 15:00:00+00:00,America/Los_Angeles,False,8,co,ppm,,1hour,01:00:00,2025-08-25T02:00:00Z,2025-08-24T19:00:00-07:00,2025-08-25T03:00:00Z,2025-08-24T20:00:00-07:00,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,1,01:00:00,1,01:00:00,100.0,100.0,2025-08-25T02:00:00Z,2025-08-24T19:00:00-07:00,2025-08-25T03:00:00Z,2025-08-24T20:00:00-07:00
0.3,,23019,34.066429,-118.22675500000001,Los Angeles,Los Angeles - N. Mai,2017-06-07T22:00:00Z,2025-08-25 15:00:00+00:00,America/Los_Angeles,False,8,co,ppm,,1hour,01:00:00,2025-08-25T03:00:00Z,2025-08-24T20:00:00-07:00,2025-08-25T04:00:00Z,2025-08-24T21:00:00-07:00,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,1,01:00:00,1,01:00:00,100.0,100.0,2025-08-25T03:00:00Z,2025-08-24T20:00:00-07:00,2025-08-25T04:00:00Z,2025-08-24T21:00:00-07:00
