apparent_temperature,apparent_temperature_mean,cloud_cover,dew_point_2m,hourly_datetime (UTC),precipitation,pressure_msl,relative_humidity_2m,shortwave_radiation,snow_depth,sunrise (PDT),sunset (PDT),surface_pressure,temperature_2m,temperature_2m_mean,uv_index,weather_code,wind_direction_10m,wind_gusts_10m,wind_speed_10m
20.809305,23.313438,100.0,16.643637,2025-08-15 07:00:00+00:00,0.0,1011.2,83.0,0.0,0.0,2025-08-15 06:14:57-07:00,2025-08-15 19:39:42-07:00,1000.52966,19.6105,21.702166,0.0,45.0,152.24155,11.5199995,7.729527
20.78109,23.313438,100.0,16.301493,2025-08-15 08:00:00+00:00,0.0,1011.1,83.0,0.0,0.0,2025-08-15 06:14:57-07:00,2025-08-15 19:39:42-07:00,1000.418,19.2605,21.702166,0.0,45.0,108.43504,13.679999,4.5536795
21.395638,23.313438,100.0,16.599367,2025-08-15 09:00:00+00:00,0.0,1010.8,82.0,0.0,0.0,2025-08-15 06:14:57-07:00,2025-08-15 19:39:42-07:00,1000.1395,19.7605,21.702166,0.0,45.0,128.65984,12.599999,4.6102495
21.134962,23.313438,100.0,17.105639,2025-08-15 10:00:00+00:00,0.0,1010.8,86.0,0.0,0.0,2025-08-15 06:14:57-07:00,2025-08-15 19:39:42-07:00,1000.1303,19.5105,21.702166,0.0,45.0,159.44388,9.72,6.151683
21.433857,23.313438,100.0,16.790266,2025-08-15 11:00:00+00:00,0.0,1011.0,83.0,0.0,0.0,2025-08-15 06:14:57-07:00,2025-08-15 19:39:42-07:00,1000.3374,19.7605,21.702166,0.0,45.0,162.89719,6.8399997,4.896529
21.348278,23.313438,100.0,16.790266,2025-08-15 12:00:00+00:00,0.0,1011.1,83.0,0.0,0.0,2025-08-15 06:14:57-07:00,2025-08-15 19:39:42-07:00,1000.43634,19.7605,21.702166,0.0,45.0,156.80138,7.92,5.4833565
21.491032,23.313438,100.0,16.979155,2025-08-15 13:00:00+00:00,0.0,1011.5,84.0,0.0,0.0,2025-08-15 06:14:57-07:00,2025-08-15 19:39:42-07:00,1000.83215,19.7605,21.702166,0.0,45.0,184.08554,9.36,5.0528407
20.583162,23.313438,100.0,16.016714,2025-08-15 14:00:00+00:00,0.0,1011.9,80.0,3.75,0.0,2025-08-15 06:14:57-07:00,2025-08-15 19:39:42-07:00,1001.22064,19.560501,21.702166,0.1,45.0,197.52567,10.799999,7.172949
20.473145,23.313438,100.0,16.208925,2025-08-15 15:00:00+00:00,0.0,1012.7,82.0,35.0,0.0,2025-08-15 06:14:57-07:00,2025-08-15 19:39:42-07:00,1002.00464,19.3605,21.702166,1.0,45.0,203.9625,7.92,7.0911775
20.95563,23.313438,100.0,16.944311,2025-08-15 16:00:00+00:00,0.0,1013.0,87.0,67.5,0.0,2025-08-15 06:14:57-07:00,2025-08-15 19:39:42-07:00,1002.29425,19.1605,21.702166,2.55,45.0,151.38963,13.32,4.510787
22.101385,23.313438,100.0,16.791454,2025-08-15 17:00:00+00:00,0.0,1013.5,79.0,162.75,0.0,2025-08-15 06:14:57-07:00,2025-08-15 19:39:42-07:00,1002.83966,20.560501,21.702166,4.4,45.0,187.12492,12.959999,5.8048253
24.420345,23.313438,98.0,16.957314,2025-08-15 18:00:00+00:00,0.0,1013.7,70.0,415.25,0.0,2025-08-15 06:14:57-07:00,2025-08-15 19:39:42-07:00,1003.11475,22.7105,21.702166,6.1,45.0,219.28938,12.959999,5.1165614
27.39215,23.313438,52.0,18.1219,2025-08-15 19:00:00+00:00,0.0,1013.8,68.0,704.75,0.0,2025-08-15 06:14:57-07:00,2025-08-15 19:39:42-07:00,1003.2738,24.4105,21.702166,7.4,45.0,206.56499,7.2,6.439876
29.894909,23.313438,23.0,17.341393,2025-08-15 20:00:00+00:00,0.0,1013.6,55.0,873.5,0.0,2025-08-15 06:14:57-07:00,2025-08-15 19:39:42-07:00,1003.1716,27.1605,21.702166,8.05,45.0,236.3099,12.24,11.681987
29.720688,23.313438,18.0,18.538177,2025-08-15 21:00:00+00:00,0.0,1013.5,60.0,890.0,0.0,2025-08-15 06:14:57-07:00,2025-08-15 19:39:42-07:00,1003.0657,26.9605,21.702166,8.05,45.0,257.61926,16.919998,15.111424
29.754902,23.313438,11.0,18.091248,2025-08-15 22:00:00+00:00,0.0,1013.0,58.0,836.75,0.0,2025-08-15 06:14:57-07:00,2025-08-15 19:39:42-07:00,1002.5742,27.060501,21.702166,7.3,45.0,250.0168,14.4,12.641076
27.572353,23.313438,8.0,18.53241,2025-08-15 23:00:00+00:00,0.0,1012.8,64.0,733.0,0.0,2025-08-15 06:14:57-07:00,2025-08-15 19:39:42-07:00,1002.3348,25.8605,21.702166,6.0,45.0,243.9967,18.72,16.42247
26.09719,22.454092,68.0,18.164026,2025-08-16 00:00:00+00:00,0.0,1012.6,65.0,558.5,0.0,2025-08-16 06:15:40-07:00,2025-08-16 19:38:34-07:00,1002.11426,25.2105,21.023,4.25,3.0,239.03632,16.56,14.693999
25.283203,22.454092,24.0,17.207485,2025-08-16 01:00:00+00:00,0.0,1012.6,64.0,303.0,0.0,2025-08-16 06:15:40-07:00,2025-08-16 19:38:34-07:00,1002.08777,24.4605,21.023,2.4,3.0,241.11351,12.599999,11.923557
22.606697,22.454092,13.0,16.574432,2025-08-16 02:00:00+00:00,0.0,1012.5,70.0,151.5,0.0,2025-08-16 06:15:40-07:00,2025-08-16 19:38:34-07:00,1001.9131,22.310501,21.023,0.9,3.0,256.32867,15.84,13.708391
20.7553,22.454092,16.0,15.903626,2025-08-16 03:00:00+00:00,0.0,1012.8,77.0,17.0,0.0,2025-08-16 06:15:40-07:00,2025-08-16 19:38:34-07:00,1002.1291,20.060501,21.023,0.1,3.0,251.56496,10.799999,9.107359
