City,apparent_temperature,apparent_temperature_mean,cloud_cover,dew_point_2m,hourly_datetime (UTC),precipitation,pressure_msl,relative_humidity_2m,shortwave_radiation,snow_depth,sunrise_local,sunset_local,surface_pressure,temperature_2m,temperature_2m_mean,uv_index,weather_code,wind_direction_10m,wind_gusts_10m,wind_speed_10m
Los Angeles,24.368143,28.148872,30.0,16.989578,2025-08-23 07:00:00+00:00,0.0,1011.1,71.0,0.0,0.0,2025-08-23 06:20:39-07:00,2025-08-23 19:30:10-07:00,1000.53455,22.5105,25.94175,0.0,3.0,239.0363,7.2,4.198285
Los Angeles,25.08696,28.148872,11.0,18.83855,2025-08-23 08:00:00+00:00,0.0,1011.1,80.0,0.0,0.0,2025-08-23 06:20:39-07:00,2025-08-23 19:30:10-07:00,1000.533,22.4605,25.94175,0.0,3.0,218.65984,6.12,4.6102495
Los Angeles,25.540974,28.148872,44.0,18.62781,2025-08-23 09:00:00+00:00,0.0,1010.8,78.0,0.0,0.0,2025-08-23 06:20:39-07:00,2025-08-23 19:30:10-07:00,1000.2431,22.6605,25.94175,0.0,3.0,260.53775,2.8799999,2.1897945
Los Angeles,25.197924,28.148872,1.0,17.885403,2025-08-23 10:00:00+00:00,0.0,1010.7,74.0,0.0,0.0,2025-08-23 06:20:39-07:00,2025-08-23 19:30:10-07:00,1000.14795,22.7605,25.94175,0.0,3.0,209.7448,4.32,2.9024127
Los Angeles,24.525816,28.148872,2.0,18.400732,2025-08-23 11:00:00+00:00,0.0,1010.5,80.0,0.0,0.0,2025-08-23 06:20:39-07:00,2025-08-23 19:30:10-07:00,999.9233,22.0105,25.94175,0.0,3.0,275.19434,6.8399997,3.9763298
Los Angeles,25.066542,28.148872,10.0,19.830269,2025-08-23 12:00:00+00:00,0.0,1010.6,91.0,0.0,0.0,2025-08-23 06:20:39-07:00,2025-08-23 19:30:10-07:00,999.9991,21.3605,25.94175,0.0,3.0,135.0001,1.4399999,0.5091169
Los Angeles,23.171421,28.148872,83.0,20.078875,2025-08-23 13:00:00+00:00,0.0,1011.1,95.0,0.0,0.0,2025-08-23 06:20:39-07:00,2025-08-23 19:30:10-07:00,1000.4778,20.9105,25.94175,0.0,3.0,286.6993,12.959999,11.27553
Los Angeles,24.492914,28.148872,100.0,20.6605,2025-08-23 14:00:00+00:00,0.0,1012.4,100.0,3.5,0.0,2025-08-23 06:20:39-07:00,2025-08-23 19:30:10-07:00,1001.75507,20.6605,25.94175,0.1,3.0,188.13002,12.24,2.5455842
Los Angeles,25.425419,28.148872,100.0,19.331543,2025-08-23 15:00:00+00:00,0.0,1012.5,83.0,26.25,0.0,2025-08-23 06:20:39-07:00,2025-08-23 19:30:10-07:00,1001.9146,22.3605,25.94175,0.9,3.0,206.56499,4.32,3.219938
Los Angeles,26.342297,28.148872,62.0,20.688623,2025-08-23 16:00:00+00:00,0.0,1012.7,86.0,174.5,0.0,2025-08-23 06:20:39-07:00,2025-08-23 19:30:10-07:00,1002.1411,23.1605,25.94175,2.45,3.0,113.962494,8.28,7.0911775
Los Angeles,26.625198,28.148872,99.0,16.989218,2025-08-23 17:00:00+00:00,0.0,1013.0,60.0,220.25,0.0,2025-08-23 06:20:39-07:00,2025-08-23 19:30:10-07:00,1002.51355,25.310501,25.94175,4.25,3.0,59.93151,14.04,7.9036193
Los Angeles,32.090607,28.148872,86.0,19.67988,2025-08-23 18:00:00+00:00,0.0,1012.8,58.0,455.5,0.0,2025-08-23 06:20:39-07:00,2025-08-23 19:30:10-07:00,1002.4348,28.7605,25.94175,5.75,3.0,90.0,6.4799995,2.52
Los Angeles,31.74625,28.148872,100.0,10.876737,2025-08-23 19:00:00+00:00,0.0,1012.3,25.0,427.0,0.0,2025-08-23 06:20:39-07:00,2025-08-23 19:30:10-07:00,1002.10266,33.6105,25.94175,6.95,3.0,122.90524,17.64,14.57889
