City,apparent_temperature,apparent_temperature_mean,cloud_cover,dew_point_2m,hourly_datetime (UTC),precipitation,pressure_msl,relative_humidity_2m,shortwave_radiation,snow_depth,sunrise_local,sunset_local,surface_pressure,temperature_2m,temperature_2m_mean,uv_index,weather_code,wind_direction_10m,wind_gusts_10m,wind_speed_10m
New York,19.662382,19.913322,4.0,13.371737,2025-08-19 04:00:00+00:00,0.0,1022.8,68.0,0.0,0.0,2025-08-19 06:10:47-04:00,2025-08-19 19:48:13-04:00,1018.9867,19.431,20.901833,0.0,3.0,97.12492,20.880001,5.8048253
Chicago,25.555529,24.967201,100.0,21.07452,2025-08-19 05:00:00+00:00,0.5,1014.8,94.0,0.0,0.0,2025-08-19 06:03:29-05:00,2025-08-19 19:44:45-05:00,986.9642,22.086,22.190168,0.0,53.0,186.3401,19.44,6.519877
New York,19.376602,19.913322,49.0,12.491216,2025-08-19 05:00:00+00:00,0.0,1022.9,65.0,0.0,0.0,2025-08-19 06:10:47-04:00,2025-08-19 19:48:13-04:00,1019.08386,19.230999,20.901833,0.0,3.0,65.55606,17.28,4.3498964
Houston,30.642769,33.08295,100.0,22.311172,2025-08-19 05:00:00+00:00,0.0,1015.0,80.0,0.0,0.0,2025-08-19 06:51:47-05:00,2025-08-19 19:58:05-05:00,1012.6852,26.030499,27.32425,0.0,95.0,282.5288,3.96,3.319036
New York,18.397821,19.913322,43.0,13.213998,2025-08-19 06:00:00+00:00,0.0,1022.6,73.0,0.0,0.0,2025-08-19 06:10:47-04:00,2025-08-19 19:48:13-04:00,1018.7706,18.130999,20.901833,0.0,3.0,56.309914,12.599999,5.1919937
Chicago,23.881855,24.967201,100.0,20.378351,2025-08-19 06:00:00+00:00,0.4,1015.0,92.0,0.0,0.0,2025-08-19 06:03:29-05:00,2025-08-19 19:44:45-05:00,987.1263,21.736,22.190168,0.0,53.0,159.07542,25.919998,13.1041975
Houston,28.600765,33.08295,89.0,22.181124,2025-08-19 06:00:00+00:00,0.0,1015.4,82.0,0.0,0.0,2025-08-19 06:51:47-05:00,2025-08-19 19:58:05-05:00,1013.0801,25.4805,27.32425,0.0,95.0,65.55606,35.64,13.049689
New York,17.836618,19.913322,0.0,12.305212,2025-08-19 07:00:00+00:00,0.0,1022.4,69.0,0.0,0.0,2025-08-19 06:10:47-04:00,2025-08-19 19:48:13-04:00,1018.5707,18.081,20.901833,0.0,3.0,60.64234,16.199999,6.6087217
Chicago,23.728775,24.967201,100.0,19.743837,2025-08-19 07:00:00+00:00,0.5,1014.6,89.0,0.0,0.0,2025-08-19 06:03:29-05:00,2025-08-19 19:44:45-05:00,986.72797,21.636,22.190168,0.0,53.0,196.69933,27.0,11.27553
Houston,29.005589,33.08295,99.0,22.843271,2025-08-19 07:00:00+00:00,0.0,1014.0,89.0,0.0,0.0,2025-08-19 06:51:47-05:00,2025-08-19 19:58:05-05:00,1011.6778,24.780499,27.32425,0.0,95.0,249.14546,7.92,8.089993
Los Angeles,22.447916,25.20475,11.0,17.681667,2025-08-19 07:00:00+00:00,0.0,1014.1,87.0,0.0,0.0,2025-08-19 06:17:48-07:00,2025-08-19 19:35:05-07:00,1003.41003,19.9105,23.104248,0.0,45.0,333.43503,2.52,1.609969
Los Angeles,21.235819,25.20475,15.0,16.811108,2025-08-19 08:00:00+00:00,0.0,1014.2,86.0,0.0,0.0,2025-08-19 06:17:48-07:00,2025-08-19 19:35:05-07:00,1003.48346,19.2105,23.104248,0.0,45.0,261.87,3.6,2.5455842
New York,17.403152,19.913322,0.0,11.970513,2025-08-19 08:00:00+00:00,0.0,1022.6,69.0,0.0,0.0,2025-08-19 06:10:47-04:00,2025-08-19 19:48:13-04:00,1018.76544,17.730999,20.901833,0.0,3.0,63.435013,19.44,6.439876
Houston,29.742264,33.08295,100.0,23.358786,2025-08-19 08:00:00+00:00,0.0,1014.0,91.0,0.0,0.0,2025-08-19 06:51:47-05:00,2025-08-19 19:58:05-05:00,1011.6788,24.9305,27.32425,0.0,95.0,6.70975,6.4799995,6.162207
Chicago,23.97776,24.967201,100.0,20.180395,2025-08-19 08:00:00+00:00,0.0,1014.1,92.0,0.0,0.0,2025-08-19 06:03:29-05:00,2025-08-19 19:44:45-05:00,986.23236,21.536,22.190168,0.0,53.0,146.3099,22.319998,10.383987
Los Angeles,20.690779,25.20475,35.0,16.78929,2025-08-19 09:00:00+00:00,0.0,1014.1,90.0,0.0,0.0,2025-08-19 06:17:48-07:00,2025-08-19 19:35:05-07:00,1003.3571,18.4605,23.104248,0.0,45.0,270.0,1.4399999,1.08
New York,17.116997,19.913322,0.0,11.297458,2025-08-19 09:00:00+00:00,0.0,1022.6,66.0,0.0,0.0,2025-08-19 06:10:47-04:00,2025-08-19 19:48:13-04:00,1018.76544,17.730999,20.901833,0.0,3.0,68.74943,21.599998,6.9527545
Houston,29.354713,33.08295,100.0,23.0278,2025-08-19 09:00:00+00:00,0.0,1013.9,90.0,0.0,0.0,2025-08-19 06:51:47-05:00,2025-08-19 19:58:05-05:00,1011.57806,24.780499,27.32425,0.0,95.0,296.56497,9.72,6.439876
Chicago,24.560745,24.967201,100.0,20.627945,2025-08-19 09:00:00+00:00,0.0,1013.6,94.0,0.0,0.0,2025-08-19 06:03:29-05:00,2025-08-19 19:44:45-05:00,985.75543,21.636,22.190168,0.0,53.0,182.3859,30.599998,8.647496
Chicago,25.605324,24.967201,100.0,21.098684,2025-08-19 10:00:00+00:00,0.0,1013.4,93.0,0.0,0.0,2025-08-19 06:03:29-05:00,2025-08-19 19:44:45-05:00,985.6212,22.286,22.190168,0.0,53.0,224.9999,24.48,7.6367526
New York,16.304646,19.913322,3.0,12.0896015,2025-08-19 10:00:00+00:00,0.0,1022.7,72.0,0.0,0.0,2025-08-19 06:10:47-04:00,2025-08-19 19:48:13-04:00,1018.85785,17.181,20.901833,0.0,3.0,63.435013,21.599998,10.464797
Los Angeles,20.782438,25.20475,38.0,17.210701,2025-08-19 10:00:00+00:00,0.0,1013.9,91.0,0.0,0.0,2025-08-19 06:17:48-07:00,2025-08-19 19:35:05-07:00,1003.1684,18.7105,23.104248,0.0,45.0,237.99466,4.68,3.396233
Houston,30.849083,33.08295,100.0,23.570621,2025-08-19 10:00:00+00:00,0.0,1014.2,90.0,0.0,0.0,2025-08-19 06:51:47-05:00,2025-08-19 19:58:05-05:00,1011.8816,25.3305,27.32425,0.0,95.0,260.53775,10.08,2.1897945
Los Angeles,19.908682,25.20475,50.0,16.295654,2025-08-19 11:00:00+00:00,0.0,1014.0,90.0,0.0,0.0,2025-08-19 06:17:48-07:00,2025-08-19 19:35:05-07:00,1003.23987,17.9605,23.104248,0.0,45.0,333.43503,1.8,1.609969
Houston,30.905926,33.08295,100.0,23.570621,2025-08-19 11:00:00+00:00,0.0,1014.7,90.0,0.0,0.0,2025-08-19 06:51:47-05:00,2025-08-19 19:58:05-05:00,1012.38043,25.3305,27.32425,0.0,95.0,180.0,6.8399997,1.8
Chicago,25.989584,24.967201,100.0,21.2969,2025-08-19 11:00:00+00:00,0.0,1013.8,93.0,0.0,0.0,2025-08-19 06:03:29-05:00,2025-08-19 19:44:45-05:00,986.0285,22.486,22.190168,0.0,53.0,210.46547,18.0,7.10031
New York,16.379408,19.913322,0.0,11.191204,2025-08-19 11:00:00+00:00,0.0,1023.3,67.0,29.75,0.0,2025-08-19 06:10:47-04:00,2025-08-19 19:48:13-04:00,1019.45807,17.380999,20.901833,0.05,3.0,57.528828,25.199999,9.387651
Los Angeles,18.984379,25.20475,7.0,15.647909,2025-08-19 12:00:00+00:00,0.0,1014.3,88.0,0.0,0.0,2025-08-19 06:17:48-07:00,2025-08-19 19:35:05-07:00,1003.5257,17.6605,23.104248,0.0,45.0,344.7448,3.6,4.1046314
Chicago,27.069702,24.967201,100.0,21.49511,2025-08-19 12:00:00+00:00,0.0,1013.8,93.0,5.5,0.0,2025-08-19 06:03:29-05:00,2025-08-19 19:44:45-05:00,986.0471,22.685999,22.190168,0.15,53.0,233.13002,13.679999,1.8
New York,17.301327,19.913322,18.0,9.26154,2025-08-19 12:00:00+00:00,0.0,1023.5,51.0,182.0,0.0,2025-08-19 06:10:47-04:00,2025-08-19 19:48:13-04:00,1019.6874,19.681,20.901833,0.5,3.0,59.743652,25.56,15.0038395
Houston,30.204815,33.08295,100.0,23.058384,2025-08-19 12:00:00+00:00,0.0,1015.3,87.0,0.25,0.0,2025-08-19 06:51:47-05:00,2025-08-19 19:58:05-05:00,1012.9793,25.380499,27.32425,0.0,95.0,41.98713,4.68,4.8433046
Los Angeles,18.437103,25.20475,11.0,15.700754,2025-08-19 13:00:00+00:00,0.0,1014.7,92.0,0.0,0.0,2025-08-19 06:17:48-07:00,2025-08-19 19:35:05-07:00,1003.8975,17.0105,23.104248,0.0,45.0,66.037506,3.6,3.5455887
Chicago,25.208788,24.967201,100.0,21.247345,2025-08-19 13:00:00+00:00,0.0,1014.5,93.0,16.75,0.0,2025-08-19 06:03:29-05:00,2025-08-19 19:44:45-05:00,986.70465,22.435999,22.190168,0.9,53.0,275.19434,19.44,11.928989
Houston,29.958015,33.08295,100.0,23.655275,2025-08-19 13:00:00+00:00,0.0,1015.4,91.0,44.25,0.0,2025-08-19 06:51:47-05:00,2025-08-19 19:58:05-05:00,1013.0781,25.2305,27.32425,0.4,95.0,108.43504,14.4,7.968939
New York,18.831497,19.913322,11.0,9.86149,2025-08-19 13:00:00+00:00,0.0,1023.5,49.0,374.25,0.0,2025-08-19 06:10:47-04:00,2025-08-19 19:48:13-04:00,1019.70435,20.980999,20.901833,1.25,3.0,50.013176,24.48,14.565548
Chicago,25.585506,24.967201,100.0,21.616808,2025-08-19 14:00:00+00:00,0.0,1014.8,96.0,50.25,0.0,2025-08-19 06:03:29-05:00,2025-08-19 19:44:45-05:00,986.9828,22.286,22.190168,2.1,53.0,328.67136,13.32,9.693296
Houston,29.843132,33.08295,100.0,23.917646,2025-08-19 14:00:00+00:00,0.0,1016.4,93.0,119.25,0.0,2025-08-19 06:51:47-05:00,2025-08-19 19:58:05-05:00,1014.075,25.130499,27.32425,0.4,95.0,334.44006,15.4800005,9.178235
Los Angeles,19.235855,25.20475,100.0,17.028673,2025-08-19 14:00:00+00:00,0.0,1015.4,97.0,9.25,0.0,2025-08-19 06:17:48-07:00,2025-08-19 19:35:05-07:00,1004.60834,17.5105,23.104248,0.1,45.0,105.945465,11.5199995,5.2416787
New York,20.15089,19.913322,22.0,7.813059,2025-08-19 14:00:00+00:00,0.0,1023.4,38.0,549.5,0.0,2025-08-19 06:10:47-04:00,2025-08-19 19:48:13-04:00,1019.62897,22.880999,20.901833,2.6,3.0,71.564964,20.880001,14.799459
Houston,31.340225,33.08295,94.0,24.050587,2025-08-19 15:00:00+00:00,0.0,1016.3,91.0,194.75,0.0,2025-08-19 06:51:47-05:00,2025-08-19 19:58:05-05:00,1013.97894,25.630499,27.32425,3.45,95.0,330.25522,9.72,2.9024127
Chicago,27.305267,24.967201,100.0,22.308329,2025-08-19 15:00:00+00:00,0.0,1015.0,92.0,215.5,0.0,2025-08-19 06:03:29-05:00,2025-08-19 19:44:45-05:00,987.30634,23.685999,22.190168,3.55,53.0,353.88458,18.72,10.1376915
Los Angeles,21.671734,25.20475,100.0,18.339848,2025-08-19 15:00:00+00:00,0.0,1015.7,95.0,89.25,0.0,2025-08-19 06:17:48-07:00,2025-08-19 19:35:05-07:00,1004.9657,19.1605,23.104248,0.95,45.0,131.18582,5.04,3.8268526
New York,23.066149,19.913322,9.0,11.887326,2025-08-19 15:00:00+00:00,0.0,1023.5,47.0,689.0,0.0,2025-08-19 06:10:47-04:00,2025-08-19 19:48:13-04:00,1019.7414,23.880999,20.901833,5.4,3.0,78.6901,19.44,14.685176
Houston,34.738464,33.08295,47.0,25.614965,2025-08-19 16:00:00+00:00,0.0,1016.3,86.0,534.0,0.0,2025-08-19 06:51:47-05:00,2025-08-19 19:58:05-05:00,1013.9987,28.1805,27.32425,5.4,95.0,26.564985,9.72,4.0249224
Los Angeles,23.439537,25.20475,61.0,18.831503,2025-08-19 16:00:00+00:00,0.0,1015.8,89.0,204.0,0.0,2025-08-19 06:17:48-07:00,2025-08-19 19:35:05-07:00,1005.12115,20.7105,23.104248,2.55,45.0,213.6901,3.96,3.8939953
Chicago,25.474285,24.967201,100.0,21.256636,2025-08-19 16:00:00+00:00,0.0,1015.6,90.0,269.0,0.0,2025-08-19 06:03:29-05:00,2025-08-19 19:44:45-05:00,987.82556,22.986,22.190168,4.65,53.0,349.5626,23.4,13.910169
New York,24.06196,19.913322,30.0,10.460154,2025-08-19 16:00:00+00:00,0.0,1023.3,41.0,801.25,0.0,2025-08-19 06:10:47-04:00,2025-08-19 19:48:13-04:00,1019.5507,24.581,20.901833,6.55,3.0,111.25058,17.28,13.905509
Chicago,25.196287,24.967201,100.0,21.059227,2025-08-19 17:00:00+00:00,0.0,1015.6,90.0,292.75,0.0,2025-08-19 06:03:29-05:00,2025-08-19 19:44:45-05:00,987.8071,22.786,22.190168,6.05,53.0,355.48608,18.72,13.722565
Los Angeles,26.467657,25.20475,21.0,19.13168,2025-08-19 17:00:00+00:00,0.0,1015.8,76.0,473.25,0.0,2025-08-19 06:17:48-07:00,2025-08-19 19:35:05-07:00,1005.22455,23.6105,23.104248,4.4,45.0,275.19434,3.96,3.9763298
New York,24.538328,19.913322,13.0,11.182081,2025-08-19 17:00:00+00:00,0.0,1023.0,42.0,802.5,0.0,2025-08-19 06:10:47-04:00,2025-08-19 19:48:13-04:00,1019.2569,24.980999,20.901833,6.95,3.0,92.79265,18.359999,14.77755
Houston,37.415855,33.08295,1.0,25.080187,2025-08-19 17:00:00+00:00,0.0,1016.2,74.0,802.5,0.0,2025-08-19 06:51:47-05:00,2025-08-19 19:58:05-05:00,1013.9145,30.2305,27.32425,6.95,95.0,10.784258,14.04,7.69592
Chicago,25.326193,24.967201,100.0,21.26913,2025-08-19 18:00:00+00:00,0.0,1015.8,92.0,291.0,0.0,2025-08-19 06:03:29-05:00,2025-08-19 19:44:45-05:00,987.9877,22.636,22.190168,6.85,53.0,346.75946,16.919998,12.57426
Houston,38.374596,33.08295,15.0,24.819992,2025-08-19 18:00:00+00:00,0.0,1016.3,70.0,910.25,0.0,2025-08-19 06:51:47-05:00,2025-08-19 19:58:05-05:00,1014.01935,30.9305,27.32425,8.0,95.0,338.6293,19.08,8.891344
New York,24.456387,19.913322,88.0,12.380179,2025-08-19 18:00:00+00:00,0.0,1022.6,46.0,845.0,0.0,2025-08-19 06:10:47-04:00,2025-08-19 19:48:13-04:00,1018.85583,24.781,20.901833,7.2,3.0,110.28265,20.880001,17.654688
Los Angeles,30.261536,25.20475,2.0,18.379232,2025-08-19 18:00:00+00:00,0.0,1015.7,61.0,770.75,0.0,2025-08-19 06:17:48-07:00,2025-08-19 19:35:05-07:00,1005.2276,26.5105,23.104248,6.1,45.0,239.74365,5.04,5.00128
New York,23.02316,19.913322,14.0,12.618605,2025-08-19 19:00:00+00:00,0.0,1022.1,48.0,702.5,0.0,2025-08-19 06:10:47-04:00,2025-08-19 19:48:13-04:00,1018.352,24.331,20.901833,6.55,3.0,123.11135,23.4,19.770523
Chicago,25.122047,24.967201,100.0,21.170155,2025-08-19 19:00:00+00:00,0.0,1015.8,92.0,106.75,0.0,2025-08-19 06:03:29-05:00,2025-08-19 19:44:45-05:00,987.9784,22.536,22.190168,6.75,53.0,347.125,16.919998,12.9249525
Los Angeles,33.031956,25.20475,0.0,17.631065,2025-08-19 19:00:00+00:00,0.0,1015.4,50.0,908.0,0.0,2025-08-19 06:17:48-07:00,2025-08-19 19:35:05-07:00,1005.02,29.1105,23.104248,7.4,45.0,242.10283,7.92,6.9247384
